,Country code,Value
11201,ARG,145.31
12653,ARM,7.49
16943,AUS,244.64
18395,AUT,66.36
19847,AZE,25.12
24071,BGD,83.75
26909,BLR,38.62
28361,BEL,98.57
35021,BOL,10.37
39245,BRA,640.66
42083,BGR,47.3
44921,BDI,0.32
50531,CAN,622.2
55967,CHL,81.51
57330,CHN,8484.02
65711,CRI,12.62
68549,HRV,15.12
71387,CYP,5.04
72839,CZE,83.36
74291,DNK,33.42
79901,ECU,33.07
81353,EGY,174.88
82805,SLV,6.59
87029,EST,7.41
98315,FIN,72.06
99767,FRA,548.68
109667,GEO,12.66
111119,DEU,581.55
115007,GRC,54.91
131705,HUN,35.5
134456,IND,1713.75
135820,IDN,309.09
140043,IRL,30.78
142881,ITA,283.27
145719,JPN,917.93
148470,KAZ,114.16
149921,KEN,11.39
161141,LVA,5.92
168137,LTU,3.96
169589,LUX,1.34
175025,MYS,174.11
179247,MLT,2.19
184857,MEX,316.62
186309,MDA,4.89
187761,MNG,7.7
188883,MNE,3.81
200037,NLD,120.77
202875,NZL,42.96
211323,MKD,3.96
212775,NOR,151.16
218517,PAK,129.05
225513,PER,57.29
226965,PHL,102.64
228417,POL,176.52
229869,PRT,48.76
235479,ROU,58.16
236931,RUS,1094.58
248874,SAU,356.62
250323,SEN,5.52
251775,SRB,37.09
255999,SGP,53.01
257451,SVK,29.58
258903,SVN,15.59
263127,ZAF,229.72
264579,KOR,575.25
266625,ESP,268.24
272235,SWE,171.08
273687,CHE,61.55
276525,TWN,291.86
277977,TJK,19.09
280815,THA,176.39
287613,TUN,19.92
289065,TUR,331.28
294675,UKR,155.61
297513,GBR,307.16
298965,USA,4157.1
300417,URY,15.29
306027,VNM,213.25
